,Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_NAS,AvDryMatter%,N%(dry)_NAS,Protein%(dry)_NAS,,N
24,"Alfalfa, for green chop (pre bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,82.9,3.488,0.39,3.4,"2,000",17.1,17.1,3.488,21.8,,0
25,"Alfalfa, for green chop (pre bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.95,3.376,0.375,3.39,"2,000",23.1,23.05,3.28,20.5,,0
26,"Alfalfa, for green chop (pre bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,76.8,3.92,#DIV/0!,#DIV/0!,"2,000",23.2,23.2,3.92,24.5,,0
27,"Alfalfa, for hay",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.65,2.78879558,0.261298343,2.119198895,"2,000",91.4,90.35,2.72,17,,0
28,"Alfalfa, for hay (cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.9,2.616,0.35,2.48,"2,000",89.4,90.1,2.304,14.4,,0
29,"Alfalfa, for hay (cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.35,2.856,0.285,1.92,"2,000",89.9,90.65,2.64,16.5,,0
30,"Alfalfa, for hay (cut 3)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.3,2.968,0.19,2.47,"2,000",89.3,89.7,2.736,17.1,,0
31,"Alfalfa, for hay (early bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.58,3.054446409,0.228798343,2.344198895,"2,000",90.1,89.42,3.152,19.7,,0
32,"Alfalfa, for hay (early bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.3,2.736,0.255,2.465,"2,000",90.2,90.7,2.448,15.3,,0
33,"Alfalfa, for hay (early bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12,3.168,0.255,2.54,"2,000",87,88,3.328,20.8,,0
34,"Alfalfa, for hay (early bloom, cut 3)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.95,3.248,0.27,2.84,"2,000",85.9,87.05,3.36,21,,0
35,"Alfalfa, for hay (full bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,11.12,2.618647514,0.238273481,1.764198895,"2,000",87.6,88.88,2.656,16.6,,0
36,"Alfalfa, for hay (full bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,15.25,2.392,0.22,1.99,"2,000",83.1,84.75,2.336,14.6,,0
37,"Alfalfa, for hay (full bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,12.7,2.592,#DIV/0!,#DIV/0!,"2,000",85.6,87.3,2.688,16.8,,0
38,"Alfalfa, for hay (full bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,12.35,1.96,#DIV/0!,#DIV/0!,"2,000",87.6,87.65,1.776,11.1,,0
39,"Alfalfa, for hay (mid bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.76,2.805646409,0.251298343,1.779198895,"2,000",89.5,89.24,2.8,17.5,,0
40,"Alfalfa, for hay (mid bloom, cut 1)",Medicago sativa,MESA,"N,P",Aboveground biomass,Forage,ton,2000,11.05,2.424,0.25,#DIV/0!,"2,000",87.8,88.95,2.032,12.7,,0
41,"Alfalfa, for hay (mid bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.2,2.736,0.31,3.25,"2,000",90.5,90.8,2.576,16.1,,0
42,"Alfalfa, for hay (mid bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,11.6,3.008,#DIV/0!,#DIV/0!,"2,000",63.57021505,88.4,2.141487225,13.38627753,,0
43,"Alfalfa, for hay (pre bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,11.34,3.388963536,0.336160221,2.436160221,"2,000",87.5,88.66,3.2,20,,0
44,"Alfalfa, for hay (pre bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,17.4,2.528,0.29,2.8,"2,000",82.6,82.6,2.528,15.8,,0
45,"Alfalfa, for hay (pre bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,14,2.496,#DIV/0!,#DIV/0!,"2,000",86,86,2.496,15.6,,0
46,"Alfalfa, for hay (pre bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,15.4,3.168,#DIV/0!,#DIV/0!,"2,000",84.6,84.6,3.168,19.8,,0
47,"Alfalfa, for hay (late vegetative, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.4,3.184,0.28,2.8,"2,000",63.57021505,87.6,2.141487225,13.38627753,,0
48,"Alfalfa, for hay (late vegetative, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,13,3.216,0.37,3.39,"2,000",63.57021505,87,2.141487225,13.38627753,,0
49,"Alfalfa, for hay (late vegetative, cut 3)",Medicago sativa,MESA,"N,P",Aboveground biomass,Forage,ton,2000,14,3.056,0.22,#DIV/0!,"2,000",63.57021505,86,2.141487225,13.38627753,,0
50,"Alfalfa, for seed",Medicago sativa,MESA,N,Seed,Forage,cwt,100,11.7,6.014795017,#DIV/0!,#DIV/0!,100,88.3,88.3,6.016,37.6,,0
51,"Alfalfa, for silage (tenth bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.9,3.34,0.38,2.88,"2,000",63.57021505,24.1,2.141487225,13.38627753,,0
52,Almonds (without shell),Prunus dulcis,PRDU,"N,P,K",Seed,Tree and fruit,lb of seed,1,4.42,3.339610797,0.544046872,0.765850596,1,63.57021505,95.58,2.141487225,13.38627753,,0
53,Alomond (with shell),Prunus dulcis,PRDU,N,Fruit,Tree and fruit,lb of fruit,1,15,3.3,#DIV/0!,#DIV/0!,1,63.57021505,85,2.141487225,13.38627753,,0
54,Apple,Malus sp.,MALUS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.78,0.338793093,0.051779714,0.747809583,48,17.9,18.22,0.448,2.8,,0
55,Apricot,Prunus armeniaca,PRAR3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.35,1.641025641,0.139194139,2.168498169,24,63.57021505,13.65,2.141487225,13.38627753,,0
56,"Artichoke-Globe, for bud",Cynara scolymus,CYSC2,"N,P,K",Bud,Vegetable,lb of fruit ,1,83,2.541176471,0.509411765,2,23,63.57021505,17,2.141487225,13.38627753,,0
57,"Artichoke-Jerusalum, for tuber",Helianthus tuberosus,HETU,"N,P,K",Tuber,Vegetable,lb of tuber,1,80.07,1.52,0.303333333,2.016666667,10,20.5,19.93,1.568,9.8,,0
58,"Asparagus-Green, for shoot or spear (immature)",Asparagus officinalis,ASOF,"N,P",Shoot (immature),Vegetable,lb of stem ,1,92,5.55,0.69,#DIV/0!,30,63.57021505,8,2.141487225,13.38627753,,0
59,"Asparagus-White, for shoot or spear (immature)",Asparagus officinalis,ASOF,"N,P",Shoot (immature),Vegetable,lb of stem ,1,93,4.342857143,0.742857143,#DIV/0!,30,63.57021505,7,2.141487225,13.38627753,,0
60,Avocado (all varieties),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,74.27,1.231247571,0.159347066,2.328021765,55,63.57021505,25.73,2.141487225,13.38627753,,0
61,Avocado (Florida),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,79.73,1.255056734,0.192402565,2.407498767,55,63.57021505,20.27,2.141487225,13.38627753,,0
62,Avocadoe (California),Persea americana,PEAM3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,72.56,1.2303207,0.153061224,2.310495627,55,63.57021505,27.44,2.141487225,13.38627753,,0
63,"Bahiagrass, for green chop",Paspalum notatum,PANO2,"N,P,K",Aboveground biomass,Forage,ton,2000,69.7,1.322666667,0.173333333,2.055,"2,000",30.3,30.3,1.328,8.3,,0
64,"Bahiagrass, for hay",Paspalum notatum,PANO2,"N,P",Aboveground biomass,Forage,ton,2000,9.83,1.52,0.2,#DIV/0!,"2,000",89.9,90.17,2.141487225,13.38627753,,0
65,"Bahiagrass, for hay (mature)",Paspalum notatum,PANO2,N,Fruit,Forage,ton,2000,9.1,0.752,#DIV/0!,#DIV/0!,"2,000",90.8,90.9,0.752,4.7,,0
66,Banana,Musa sp.,MUSA2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,74.26,0.64024864,0.077700078,1.538461539,40,63.57021505,25.74,2.141487225,13.38627753,,0
67,"Barley-2 row, for grain",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,13.3,2.32,0.35,0.49,48,63.57021505,86.7,2.141487225,13.38627753,,0
68,"Barley-2 row, for straw",Hordeum vulgare,HOVU,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,72,9.2,0.688,0.08,2.11,48,63.57021505,90.8,2.141487225,13.38627753,,0
69,"Barley-6 row, for grain (excluding Pacific Coast)",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,11.72,2.109338703,0.419356823,0.537024609,48,89,88.28,2.08,13,,0
70,"Barley-6 row, for grain (Pacific coast only)",Hordeum vulgare,HOVU,"N,P,K",Floret,Cereal and oil,bu,48,10.77,1.614054134,0.375691509,0.58,48,88.8,89.23,1.568,9.8,,0
71,"Barley-6 row, for green chop (boot)",Hordeum vulgare,HOVU,"N,P,K",Aboveground biomass,Forage,ton,2000,79.65,2.204648649,0.37018018,1.578288288,"2,000",63.57021505,20.35,2.141487225,13.38627753,,0
72,"Barley-6 row, for hay",Hordeum vulgare,HOVU,"N,P,K",Aboveground biomass,Forage,ton,2000,11.28,1.418136564,0.260825991,1.489196035,"2,000",87.7,88.73,1.392,8.7,,0
73,"Barley-6 row, for straw",Hordeum vulgare,HOVU,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,72,11.25,0.686047242,0.095555556,1.793888889,"2,000",84.1,88.75,0.704,4.4,,0
74,"Bean, for seed (dry)",Phaseolus sp.,PHASE,"N,P,K",Seed,Vegetable,cwt,100,11.4,4.224,0.54,2.69,100,63.57021505,88.6,2.141487225,13.38627753,,0
75,"Bean-Faba, for pod with seeds (immature)",Vicia faba,VIFA,"N,P,K",Fruit,Vegetable,lb of fruit,1,81,4.715789474,0.5,1.315789474,1,63.57021505,19,2.141487225,13.38627753,,0
76,"Bean-Kidney, for seed",Phaseolus vulgaris,PHVU,"N,P,K",Seed,Vegetable,cwt,100,10.75,3.985707865,0.443333333,1.066666667,100,88.8,89.25,3.952,24.7,,0
77,"Bean-Kidney, for straw",Phaseolus vulgaris,PHVU,"N,P,K",Straw,Vegetable,lb straw/cwt grain,76.14,12.3,1.274971942,0.151967826,1.594927048,100,85.7,87.7,1.584,9.9,,0
78,"Bean-Lima(baby), for pod with seeds",Phaseolus lunatus,PHLU2,"N,P",Fruit,Vegetable,lb of fruit,1,69,3.664516129,0.564516129,#DIV/0!,1,63.57021505,31,2.141487225,13.38627753,,0
79,"Bean-Lima, for pod with seeds",Phaseolus lunatus,PHLU2,"N,P,K",Fruit,Vegetable,lb of fruit,1,71,3.475862069,0.5,0.896551724,1,63.57021505,29,2.141487225,13.38627753,,0
80,"Bean-Lima, for seed",Phaseolus lunatus,PHLU2,"N,P,K",Seed,Vegetable,cwt,100,9.98,3.594547486,0.408058659,1.854860335,100,89.6,90.03,3.312,20.7,,0
81,"Bean-Lima, for straw",Phaseolus lunatus,PHLU2,"N,P,K",Straw,Vegetable,ton,2000,10.95,1.198629256,0.14295174,1.142390572,"2,000",63.57021505,89.05,1.216,7.6,,0
82,"Bean-Navy, for seed",Phaseolus vulgaris,PHVU,"N,P,K",Seed,Vegetable,cwt,100,10.38,4.028666667,0.608333333,1.432777778,100,89.7,89.63,4.048,25.3,,0
83,"Bean-Navy, for straw",Phaseolus vulgaris,PHVU,"N,P,K",Straw,Vegetable,lb straw/cwt grain,76.14,10.93,1.155962589,0.14530116,1.141593715,100,63.57021505,89.07,2.141487225,13.38627753,,0
84,Bean-Snap for seed (dry),Phaseolus vulgaris,PHVU,N,Seed,Vegetable,cwt,100,10,4,#DIV/0!,#DIV/0!,100,63.57021505,90,2.141487225,13.38627753,,0
85,"Bean-Snap, for pod with seeds (immature)",Phaseolus vulgaris,PHVU,"N,P,K",Fruit,Vegetable,lb of fruit,1,87.75,2.995652174,0.498695652,2.304347826,1,63.57021505,12.25,2.141487225,13.38627753,,0
86,Beechnut (dry),Fagus grandifolia,FAGR,N,Nut,Tree and fruit,lb of nut,1,6.6,1.062098501,#DIV/0!,#DIV/0!,1,63.57021505,93.4,2.141487225,13.38627753,,0
87,"Beet-Red Table, for root",Beta vulgaris,BEVU2,"N,P,K",Root,Vegetable,lb of root,1,87.46,2.145927273,0.323538462,2.457552389,25,12.7,12.54,2.016,12.6,,0
88,"Beet-Red Table, for top",Beta vulgaris,BEVU2,"N,P,K",Stem and leaf,Vegetable,lb of leaf,1,87.95,3.686,0.44,6.26,35,9.1,12.05,3.872,24.2,,0
89,"Bentgrass-Colonial, for hay",Agrostis capillaris,AGCA5,"N,P,K",Aboveground biomass,Forage,ton,2000,13.1,1.136,0.2,1.6,"2,000",86.9,86.9,1.136,7.1,,0
90,"Bermudagrass, for green chop",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,70.88,1.878,0.1925,1.9575,"2,000",30.9,29.13,1.792,11.2,,0
91,"Bermudagrass, for green chop (early to mid bloom)",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,68.33,1.735047619,0.21,1.735714286,"2,000",35,31.67,1.648,10.3,,0
92,"Bermudagrass, for green chop (full bloom to mature)",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,68.33,1.518380952,0.19,1.3,"2,000",35,31.67,1.648,10.3,,0
93,"Bermudagrass, for green chop (pre bloom)",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,75,2.75,0.23,2.13,"2,000",63.57021505,25,2.141487225,13.38627753,,0
94,"Bermudagrass, for hay",Cynodon dactylon,CYDA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.05,1.374556169,0.189986188,1.549765193,"2,000",91.2,90.95,1.264,7.9,,0
95,"Bermudagrass, for hay (early to mid bloom)",Cynodon dactylon,CYDA,N,Aboveground biomass,Forage,ton,2000,11.05,1.61,#DIV/0!,#DIV/0!,"2,000",92.9,88.95,1.52,9.5,,0
96,"Bermudagrass, for hay (full bloom to mature)",Cynodon dactylon,CYDA,N,Aboveground biomass,Forage,ton,2000,11.4,1.198,#DIV/0!,#DIV/0!,"2,000",92.2,88.6,1.296,8.1,,0
97,"Bermudagrass, for hay (pre bloom)",Cynodon dactylon,CYDA,N,Aboveground biomass,Forage,ton,2000,12.2,2.354,#DIV/0!,#DIV/0!,"2,000",90.6,87.8,2.208,13.8,,0
98,Blackberry,Rubus sp.,RUBUS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,85.64,0.802228412,0.146239554,1.364902507,11,63.57021505,14.36,2.141487225,13.38627753,,0
99,Blackeye pea or Cowpea or Southern Pea,Vigna unguiculata ssp. unguiculata,VIUNU,"N,P,K",Seed,Vegetable,cwt,100,85,3.52,0.52,1.466666667,100,63.57021505,15,2.141487225,13.38627753,,0
100,Blueberry,Vaccinium sp.,VACCI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,84.61,0.696556205,0.064977258,0.578297596,11,63.57021505,15.39,2.141487225,13.38627753,,0
101,"Bluegrass, for green chop",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,68.85,2.913907285,0.430463576,1.953642384,"2,000",32.1,31.15,2.141487225,13.38627753,,0
102,"Bluegrass, for green chop (early bloom)",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,64.3,2.352,0.29,2.14,"2,000",35.7,35.7,2.352,14.7,,0
103,"Bluegrass, for green chop (full bloom)",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,67.1,1.168,0.27,1.37,"2,000",32.9,32.9,1.168,7.3,,0
104,"Bluegrass, for green chop (mid bloom)",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,70.7,2,0.31,1.97,"2,000",29.3,29.3,2,12.5,,0
105,"Bluegrass, for hay",Poa sp.,POA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.3,1.76,0.27,1.72,"2,000",89.7,89.7,1.76,11,,0
106,"Bluegrass, for hay (full bloom)",Poa sp.,POA,N,Aboveground biomass,Forage,ton,2000,11.1,1.68,#DIV/0!,#DIV/0!,"2,000",88.9,88.9,1.68,10.5,,0
107,"Bluegrass-Kentucky, for green chop",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,70.47,2.603302428,0.396821192,1.967880795,"2,000",29,29.53,2.496,15.6,,0
108,"Bluegrass-Kentucky, for green chop (early bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,65.07,2.656,0.37,2.01,"2,000",34.8,34.93,2.656,16.6,,0
109,"Bluegrass-Kentucky, for green chop (full bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,65.35,2.115384615,0.282362637,2.005494506,"2,000",32.9,34.65,2.141487225,13.38627753,,0
110,"Bluegrass-Kentucky, for green chop (mature)",Poa pratensis,POPR,N,Aboveground biomass,Forage,ton,2000,66.6,1.285,#DIV/0!,#DIV/0!,"2,000",41.8,33.4,1.52,9.5,,0
111,"Bluegrass-Kentucky, for green chop (mid bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,69.38,2.298424242,0.31,1.99,"2,000",31.7,30.63,2.112,13.2,,0
112,"Bluegrass-Kentucky, for hay",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,10.95,1.602331096,0.283003356,1.922002237,"2,000",88.9,89.05,1.632,10.2,,0
113,"Bluegrass-Kentucky, for hay (early bloom)",Poa pratensis,POPR,N,Aboveground biomass,Forage,ton,2000,10,1.952,#DIV/0!,#DIV/0!,"2,000",63.57021505,90,1.952,12.2,,0
114,"Bluegrass-Kentucky, for hay (full bloom)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,7.9,1.424,0.27,1.52,"2,000",92.1,92.1,1.424,8.9,,0
115,"Bluegrass-Kentucky, for hay (mature)",Poa pratensis,POPR,"N,P,K",Aboveground biomass,Forage,ton,2000,11.86,1.006403666,0.229773769,1.698825888,"2,000",90.2,88.14,1.008,6.3,,0
116,"Bluegrass-Kentucky, for hay (mid bloom)",Poa pratensis,POPR,"N,P",Aboveground biomass,Forage,ton,2000,13.45,1.723,0.24,#DIV/0!,"2,000",88.1,86.55,1.696,10.6,,0
117,"Bluestem, for green chop",Andropogon sp.,ANDRO2,"N,P,K",Aboveground biomass,Forage,ton,2000,60.35,1.346486804,0.146627566,1.348973607,"2,000",45.2,39.65,1.344,8.4,,0
118,"Bluestem, for green chop (early bloom)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,65.8,1.68,#DIV/0!,#DIV/0!,"2,000",34.2,34.2,1.68,10.5,,0
119,"Bluestem, for green chop (full bloom)",Andropogon sp.,ANDRO2,"N,P",Aboveground biomass,Forage,ton,2000,29.6,#DIV/0!,0.13,#DIV/0!,"2,000",70.4,70.4,2.141487225,13.38627753,,0
120,"Bluestem, for green chop (mature)",Andropogon sp.,ANDRO2,"N,P,K",Aboveground biomass,Forage,ton,2000,42.52,1.009433071,0.126948819,0.51,"2,000",61.1,57.48,1.136,7.1,,0
121,"Bluestem, for hay",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,10.83,0.896267898,#DIV/0!,#DIV/0!,"2,000",90.9,89.17,0.864,5.4,,0
122,"Bluestem, for hay (early bloom)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,20,1.4,#DIV/0!,#DIV/0!,"2,000",63.57021505,80,2.141487225,13.38627753,,0
123,"Bluestem, for hay (full bloom)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,20,1.1,#DIV/0!,#DIV/0!,"2,000",63.57021505,80,2.141487225,13.38627753,,0
124,"Bluestem, for hay (mature)",Andropogon sp.,ANDRO2,N,Aboveground biomass,Forage,ton,2000,20,0.7,#DIV/0!,#DIV/0!,"2,000",63.57021505,80,2.141487225,13.38627753,,0
125,"Brazilnut (dry, unblanched)",Bertholletia excelsa,BEEX2,"N,P,K",Nut,Tree and fruit,lb of nut,1,3.34,2.373680944,0.620732464,0.620732464,1,63.57021505,96.66,2.141487225,13.38627753,,0
126,Breadfruit,Artocarpus altilis,ARAL7,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,70.65,0.58330494,0.102214651,1.669505963,15,63.57021505,29.35,2.141487225,13.38627753,,0
127,"Broccoli, for stem",Brassica oleracea var. italica,BROLI,N,Stem,Vegetable,lb of stem ,1,54.9,3.376,#DIV/0!,#DIV/0!,23,45.1,45.1,3.376,21.1,,0
128,"Broccoli, for stem and immature floral parts",Brassica oleracea var. italica,BROLI,"N,P,K",Stem and floral parts,Vegetable,lb of stem ,1,89.7,5.646666667,0.753333333,3.545,23,10.9,10.3,5.28,33,,0
129,"Bromegrass, for green chop",Bromus sp.,BROMU,"N,P,K",Aboveground biomass,Forage,ton,2000,64.4,2.144,0.285,2.19,"2,000",36,35.6,1.952,12.2,,0
